ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q721770,Walter Nash,1938-12-13,1940-04-30,,Q15998290
2,Q15998290,Bill Parry (politician),1940-04-30,1949-12-13,Q721770,Q6115693
3,Q6115693,Jack Watts (politician),1949-12-13,1950-12-19,Q15998290,Q8005665
4,Q8005665,William Bodkin (New Zealand politician),1950-12-19,1954-11-26,Q6115693,Q5386652
5,Q5386652,Eric Halstead,1954-11-26,1956-03-23,Q8005665,Q5246139
6,Q5246139,Dean Eyre,1956-03-23,1957-02-13,Q5386652,Q7325899
7,Q7325899,Geoff Gerard (politician),1957-02-13,1957-09-26,Q5246139,Q5761462
8,Q5761462,Hilda Ross,1957-09-26,1957-12-12,Q7325899,Q1882350
9,Q1882350,Mabel Howard,1957-12-12,1960-12-12,Q5761462,Q16009386
10,Q16009386,Norman Shelton,1960-12-12,1962-01-24,Q1882350,Q5294944
11,Q5294944,Don McKay (politician),1962-01-24,1972-02-09,Q16009386,Q6483310
12,Q6483310,Lance Adams-Schneider,1972-02-09,1972-12-08,Q5294944,Q7052443
13,Q7052443,Norman King (New Zealand politician),1972-12-08,1975-12-12,Q6483310,Q4895360
14,Q4895360,Bert Walker (politician),1975-12-12,1978-12-13,Q7052443,Q5539580
15,Q5539580,George Gair,1978-12-13,1981-02-12,Q4895360,Q7920127
16,Q7920127,Venn Young,1981-02-12,1984-07-26,Q5539580,Q4766449
17,Q4766449,Ann Hercus,1984-07-26,1987-08-24,Q7920127,Q2622925
18,Q2622925,Michael Cullen (politician),1987-08-24,1990-11-02,Q4766449,Q235996
19,Q235996,Jenny Shipley,1990-11-02,1996-10-12,Q2622925,Q7358939
20,Q7358939,Roger Sowry,1996-10-12,1999-12-05,Q235996,Q7613243
21,Q7613243,Steve Maharey,1999-12-05,2005-10-19,Q7358939,Q5231322
22,Q5231322,David Benson-Pope,2005-10-19,2007-07-27,Q7613243,Q7613243
,Q7613243,Steve Maharey,2007-07-27,2007-10-31,Q5231322,Q7382960
23,Q7382960,Ruth Dyson,2007-10-31,2008-11-19,Q7613243,Q6416051
24,Q6416051,Paula Bennett,2008-11-19,2014-10-06,Q7382960,Q540420
25,Q540420,Anne Tolley,2014-10-06,2017-10-26,Q6416051,Q5043325
26,Q5043325,Carmel Sepuloni,2017-10-26,,Q540420,
